"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2020-11","Nov-2020","PC","Percentage","0","Units",,,1.12,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2020-12","Dec-2020","PC","Percentage","0","Units",,,1.26,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2021-01","Jan-2021","PC","Percentage","0","Units",,,1.28,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2021-02","Feb-2021","PC","Percentage","0","Units",,,1.49,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2021-03","Mar-2021","PC","Percentage","0","Units",,,1.87,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2021-04","Apr-2021","PC","Percentage","0","Units",,,1.86,,
"IRLTLT01","Long-term interest rate","CZE","Czech Republic","ST","Level, ratio or index","M","Monthly","2021-05","May-2021","PC","Percentage","0","Units",,,1.74,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2018-09","Sep-2018","PC","Percentage","0","Units",,,0.37,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2018-10","Oct-2018","PC","Percentage","0","Units",,,0.42,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2018-11","Nov-2018","PC","Percentage","0","Units",,,0.34,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2018-12","Dec-2018","PC","Percentage","0","Units",,,0.23,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2019-01","Jan-2019","PC","Percentage","0","Units",,,0.15,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2019-02","Feb-2019","PC","Percentage","0","Units",,,0.05,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2019-03","Mar-2019","PC","Percentage","0","Units",,,0.16,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2019-04","Apr-2019","PC","Percentage","0","Units",,,0.08,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2019-05","May-2019","PC","Percentage","0","Units",,,0.04,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2019-06","Jun-2019","PC","Percentage","0","Units",,,-0.22,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2019-07","Jul-2019","PC","Percentage","0","Units",,,-0.31,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2019-08","Aug-2019","PC","Percentage","0","Units",,,-0.58,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2019-09","Sep-2019","PC","Percentage","0","Units",,,-0.59,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2019-10","Oct-2019","PC","Percentage","0","Units",,,-0.43,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2019-11","Nov-2019","PC","Percentage","0","Units",,,-0.31,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2019-12","Dec-2019","PC","Percentage","0","Units",,,-0.26,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2020-01","Jan-2020","PC","Percentage","0","Units",,,-0.26,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2020-02","Feb-2020","PC","Percentage","0","Units",,,-0.41,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2020-03","Mar-2020","PC","Percentage","0","Units",,,-0.41,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2020-04","Apr-2020","PC","Percentage","0","Units",,,-0.21,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2020-05","May-2020","PC","Percentage","0","Units",,,-0.29,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2020-06","Jun-2020","PC","Percentage","0","Units",,,-0.26,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2020-07","Jul-2020","PC","Percentage","0","Units",,,-0.34,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2020-08","Aug-2020","PC","Percentage","0","Units",,,-0.36,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2020-09","Sep-2020","PC","Percentage","0","Units",,,-0.39,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2020-10","Oct-2020","PC","Percentage","0","Units",,,-0.46,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2020-11","Nov-2020","PC","Percentage","0","Units",,,-0.46,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2020-12","Dec-2020","PC","Percentage","0","Units",,,-0.47,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2021-01","Jan-2021","PC","Percentage","0","Units",,,-0.44,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2021-02","Feb-2021","PC","Percentage","0","Units",,,-0.28,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2021-03","Mar-2021","PC","Percentage","0","Units",,,-0.03,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2021-04","Apr-2021","PC","Percentage","0","Units",,,0,,
"IRLTLT01","Long-term interest rate","DNK","Denmark","ST","Level, ratio or index","M","Monthly","2021-05","May-2021","PC","Percentage","0","Units",,,0.11,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2018-09","Sep-2018","PC","Percentage","0","Units",,,0.66,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2018-10","Oct-2018","PC","Percentage","0","Units",,,0.73,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2018-11","Nov-2018","PC","Percentage","0","Units",,,0.66,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2018-12","Dec-2018","PC","Percentage","0","Units",,,0.55,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2019-01","Jan-2019","PC","Percentage","0","Units",,,0.49,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2019-02","Feb-2019","PC","Percentage","0","Units",,,0.38,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2019-03","Mar-2019","PC","Percentage","0","Units",,,0.39,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2019-04","Apr-2019","PC","Percentage","0","Units",,,0.34,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2019-05","May-2019","PC","Percentage","0","Units",,,0.25,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2019-06","Jun-2019","PC","Percentage","0","Units",,,0.05,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2019-07","Jul-2019","PC","Percentage","0","Units",,,-0.09,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2019-08","Aug-2019","PC","Percentage","0","Units",,,-0.35,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2019-09","Sep-2019","PC","Percentage","0","Units",,,-0.3,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2019-10","Oct-2019","PC","Percentage","0","Units",,,-0.21,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2019-11","Nov-2019","PC","Percentage","0","Units",,,-0.08,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2019-12","Dec-2019","PC","Percentage","0","Units",,,-0.03,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2020-01","Jan-2020","PC","Percentage","0","Units",,,-0.07,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2020-02","Feb-2020","PC","Percentage","0","Units",,,-0.23,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2020-03","Mar-2020","PC","Percentage","0","Units",,,-0.12,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2020-04","Apr-2020","PC","Percentage","0","Units",,,0.03,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2020-05","May-2020","PC","Percentage","0","Units",,,-0.12,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2020-06","Jun-2020","PC","Percentage","0","Units",,,-0.17,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2020-07","Jul-2020","PC","Percentage","0","Units",,,-0.21,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2020-08","Aug-2020","PC","Percentage","0","Units",,,-0.25,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2020-09","Sep-2020","PC","Percentage","0","Units",,,-0.3,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2020-10","Oct-2020","PC","Percentage","0","Units",,,-0.38,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2020-11","Nov-2020","PC","Percentage","0","Units",,,-0.4,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2020-12","Dec-2020","PC","Percentage","0","Units",,,-0.41,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2021-01","Jan-2021","PC","Percentage","0","Units",,,-0.38,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2021-02","Feb-2021","PC","Percentage","0","Units",,,-0.22,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2021-03","Mar-2021","PC","Percentage","0","Units",,,-0.12,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2021-04","Apr-2021","PC","Percentage","0","Units",,,-0.08,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2021-05","May-2021","PC","Percentage","0","Units",,,0.05,,
"IRLTLT01","Long-term interest rate","FIN","Finland","ST","Level, ratio or index","M","Monthly","2021-06","Jun-2021","PC","Percentage","0","Units",,,-0.02,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2018-09","Sep-2018","PC","Percentage","0","Units",,,0.7658,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2018-10","Oct-2018","PC","Percentage","0","Units",,,0.8229,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2018-11","Nov-2018","PC","Percentage","0","Units",,,0.763,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2018-12","Dec-2018","PC","Percentage","0","Units",,,0.6984,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2019-01","Jan-2019","PC","Percentage","0","Units",,,0.6456,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2019-02","Feb-2019","PC","Percentage","0","Units",,,0.5498,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2019-03","Mar-2019","PC","Percentage","0","Units",,,0.437,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2019-04","Apr-2019","PC","Percentage","0","Units",,,0.3718,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2019-05","May-2019","PC","Percentage","0","Units",,,0.3045,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2019-06","Jun-2019","PC","Percentage","0","Units",,,0.0791,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2019-07","Jul-2019","PC","Percentage","0","Units",,,-0.069,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2019-08","Aug-2019","PC","Percentage","0","Units",,,-0.3391,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2019-09","Sep-2019","PC","Percentage","0","Units",,,-0.2757,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2019-10","Oct-2019","PC","Percentage","0","Units",,,-0.1574,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2019-11","Nov-2019","PC","Percentage","0","Units",,,-0.0204,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2019-12","Dec-2019","PC","Percentage","0","Units",,,0.0362,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2020-01","Jan-2020","PC","Percentage","0","Units",,,-0.007,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2020-02","Feb-2020","PC","Percentage","0","Units",,,-0.1772,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2020-03","Mar-2020","PC","Percentage","0","Units",,,-0.0584,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2020-04","Apr-2020","PC","Percentage","0","Units",,,0.0578,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2020-05","May-2020","PC","Percentage","0","Units",,,-0.0301,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2020-06","Jun-2020","PC","Percentage","0","Units",,,-0.044,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2020-07","Jul-2020","PC","Percentage","0","Units",,,-0.1478,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2020-08","Aug-2020","PC","Percentage","0","Units",,,-0.1713,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2020-09","Sep-2020","PC","Percentage","0","Units",,,-0.2072,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2020-10","Oct-2020","PC","Percentage","0","Units",,,-0.2966,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2020-11","Nov-2020","PC","Percentage","0","Units",,,-0.3262,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2020-12","Dec-2020","PC","Percentage","0","Units",,,-0.3352,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2021-01","Jan-2021","PC","Percentage","0","Units",,,-0.3052,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2021-02","Feb-2021","PC","Percentage","0","Units",,,-0.1504,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2021-03","Mar-2021","PC","Percentage","0","Units",,,-0.0701,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2021-04","Apr-2021","PC","Percentage","0","Units",,,-0.0056,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2021-05","May-2021","PC","Percentage","0","Units",,,0.2068,,
"IRLTLT01","Long-term interest rate","FRA","France","ST","Level, ratio or index","M","Monthly","2021-06","Jun-2021","PC","Percentage","0","Units",,,0.153,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2018-09","Sep-2018","PC","Percentage","0","Units",,,0.3705,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2018-10","Oct-2018","PC","Percentage","0","Units",,,0.399090909,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2018-11","Nov-2018","PC","Percentage","0","Units",,,0.314090909,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2018-12","Dec-2018","PC","Percentage","0","Units",,,0.187058824,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-01","Jan-2019","PC","Percentage","0","Units",,,0.132727273,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-02","Feb-2019","PC","Percentage","0","Units",,,0.0555,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-03","Mar-2019","PC","Percentage","0","Units",,,0.010952381,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-04","Apr-2019","PC","Percentage","0","Units",,,-0.0395,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-05","May-2019","PC","Percentage","0","Units",,,-0.134545455,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-06","Jun-2019","PC","Percentage","0","Units",,,-0.315263158,,
"IRLTLT01","Long-term interest rate","DEU","Germany","ST","Level, ratio or index","M","Monthly","2019-07","Jul-2019","PC","Percentage","0","Units",,,-0.38826087,,
